questionID,category,sets,question,A,B,C,D,AnswerKey
MCAS_2015_8_20,Test,easy,The temperature in a classroom is 15°C (59°F). The teacher turns the thermostat to 20°C (68°F) and keeps the door closed. Which of the following statements best describes the change that occurs as the temperature in the room increases to 20°C? , Cold air molecules collide to generate heat energy. , Cold energy in the room transforms into heat energy. , The room becomes warmer as heat energy is added to the room. , The room becomes warmer as cold energy is pushed out of the room.,C
Mercury_7069388,Test,easy,"A flat piece of paper has a mass of 5 grams. When the paper is crumpled into a ball, the mass of the crumpled paper is ", much more than that of the flat paper. , slightly more than that of the flat paper. , the same as that of the flat paper. , slightly less than that of the flat paper.,C
TIMSS_2003_4_pg87,Test,easy,"Minerals are used for making many things including jewelry, chalk, and concrete. Where do we get the minerals needed to make these things? ", from air , from wood , from rocks , from crops,C
Mercury_SC_400021,Test,easy,Which is the best way to help protect the environment? , wash hands before each meal , do a science project about energy , ride a bike to school instead of riding in a car , pack a lunch instead of buying a school lunch,C
Mercury_7234518,Test,easy,"Scientists use ice cores to identify and explain previous climatic trends. By correlating climatic conditions recorded in the ice, with solid, nonsnow particles also found in the ice, scientists can help to predict the climatic impact of which phenomena? ", atmospheric carbon dioxide concentration changes , radioactive decay rate changes in the outer core , volcanic eruptions , magnetic pole reversals,C
OHAT_2007_8_44,Test,easy,What change would occur if Earth's rate of rotation significantly increased? , The year would be shorter. , The year would be longer. , The day would be shorter. , The day would be longer.,C
Mercury_7206623,Test,easy,A student measures the rising temperature of heated water for 20 minutes in two-minute intervals. Which of these tools will best help the student organize the data? , flow chart , pie chart , data table , bar graph,C
Mercury_402092,Test,easy,Which is not an inherited trait in humans? , blue eyes , long fingers , calloused hands , attached earlobes,C
VASoL_2007_5_31,Test,easy,The wind helps many plants reproduce by ___. , cooling the plants , giving the plants moisture , spreading the plants' pollen , strengthening the plants' root systems,C
AKDE&ED_2012_8_1,Test,easy,A student is asked to measure the distance from the floor to the ceiling in a classroom. Which unit of measurement should the student most likely use to accurately measure this distance?    , liter , kiloliter , meter , kilometer,C
Mercury_SC_408628,Test,easy,"Marta and Roger are comparing how long it takes two different types of seeds to sprout. They plant both types of seeds in similar pots, place them in a sunny window, and water them daily. If they want to conduct their investigation correctly, which information is most important to record? ", the depth of the soil , the temperature of the water , the number of days until the seeds sprout , the size of pot used for growing the seeds,C
Mercury_SC_401358,Test,easy,Which substance is magnetic and conducts heat? , wood , plastic , iron , paper,C
Mercury_7181633,Test,easy,"During a biochemical reaction, pyruvate (C3H4O3) is converted into carbon dioxide (CO2) and water (H2O). In what cellular organelle does this biochemical reaction occur? ", nucleus , cytoplasm , mitochondria , endoplasmic reticulum,C
Mercury_7267943,Test,easy,Which of these is the best reason for exercising on space flights? , to increase strength for moving around in the cabin , to keep from becoming overweight on a space mission , to minimize the loss of muscle mass due to microgravity , to ensure that bodily fluids do not tend to collect in the feet,C
Mercury_7219118,Test,easy,The mineral quartz naturally forms in various colors. Which difference in quartz formation results in the different colors? , pressure at which the processes occurred , temperature at which the processes occurred , chemical impurities present as the processes occurred , amount of time passed since the processes occurred,C
Mercury_7207060,Test,easy,Greenhouse gases in the atmosphere absorb infrared radiation from Earth's surface and re-radiates some of it back to Earth. Which of these gases have the most significant impact on the temperature of Earth's atmosphere? , nitrogen and argon , oxygen and sulfur dioxide , carbon dioxide and water vapor , hydrochloric acid and hydrogen,C
Mercury_SC_416138,Test,easy,Pesticides are chemicals that kill insects. What could happen if the pesticides killed all the pollinators near some apple trees? , The trees could not make leaves. , The trees could not make flowers. , The trees could not make seeds. , The trees could not make bark.,C
Mercury_7271373,Test,easy,Which of these cell parts store genetic instructions for the entire organism and transfers them from one generation to the next? , chloroplasts , mitochondria , DNA molecules , nuclear membranes,C
AKDE&ED_2008_8_39,Test,easy,A scientific explanation should include a demonstration of the relationships between    ," measurement, form, and function. "," changes, interactions, and formulas. "," logic, evidence, and current knowledge. "," hypothesis, problem solving, and lab equipment.",C
AKDE&ED_2012_8_15,Test,easy,Which property would best help a student determine if two substances are made of two different elements?    , mass , shape , density , volume,C
Mercury_SC_400610,Test,easy,Evidence of organisms that lived on Earth a long time ago would most likely be found in , crystals. , lava. , sedimentary rock. , metamorphic rock.,C
MCAS_2005_8_1,Test,easy,"While hiking through Granville State Forest, a student finds an unusual plant-like organism that appears to lack chlorophyll. When the student examines a sample using a microscope, he sees many cells with cell walls and no chloroplasts. This organism is most likely a member of what Kingdom? ", Animalia , Eubacteria , Fungi , Protista,C
MCAS_8_2015_12,Test,easy,Which of the following statements best describes how the use of interchangeable parts has affected car manufacturing? , The number of cars produced has decreased. , The need for custom manufacturing has increased. , The efficiency of manufacturing plants has increased. , The number of countries producing cars has decreased.,C
Mercury_7211260,Test,easy,Which widely used energy sources are nonrenewable and also a source of greenhouse gas emissions? , wind turbines , hydroelectric dams , fossil fuels , solar cells,C
MCAS_2001_8_19,Test,easy,"Use the information below to answer the question. In solid fuel rockets, a fuel mixture is burned and once the mixture starts burning it cannot be stopped. In liquid fuel rockets, there is a tank of fuel and a tank of oxygen. The burning of the fuel can be stopped by preventing the flow of fuel and oxygen into the combustion chamber. Based on this information, which system is more highly developed in liquid fuel rockets than in solid fuel rockets? ", propulsion , suspension , control , structure,C
Mercury_416377,Test,easy,"The ocean minimum zone, or OMZ, is an area from 200 to 600 meters below the ocean's surface. The OMZ is dark and cold, with oxygen concentrations less than 10% of concentrations in surface water. Oxygen concentrations are so low because of bacterial activity that breaks down organic material falling from surface waters. Given the conditions in the OMZ, which of these dissolved gases would you expect to find in large concentrations in this zone? ", argon , nitrogen , carbon dioxide , carbon monoxide,C
Mercury_407668,Test,easy,"Two students went fishing one morning and caught 20 fish. The afternoon before, they caught 5 fish. Because of their morning success, they claimed that morning was the best time to fish. Which of these would most likely disprove their claim? ", catching more than 20 fish in the same location , catching more than 20 fish in another location , catching more than 20 fish the next afternoon , catching more than 20 fish the next morning,C
Mercury_SC_406664,Test,easy,Which question can be answered by scientific experimentation and observation? , Are dogs better pets than cats? , How many stars are in the universe? , In what type of light will a plant grow best? , How many organisms have lived on Earth?,C
Mercury_7146178,Test,easy,"Lea is investigating how phosphates affect oxygen levels in pond water. For part of the investigation, she uses pond water that contains no phosphates. The pond water without phosphates would be what part of the investigation? ", conclusion , hypothesis , control group , experimental group,C
Mercury_SC_408740,Test,easy,"A group of scientists is studying the effect of cell phone signals on honeybees. Before starting the investigation, the scientists stated that the bees exposed to cell phone signals will have difficulty finding their way back to the hive. Which term best describes the statement made by the group of scientists? ", control , data , hypothesis , variable,C
MCAS_1999_8_23,Test,easy,"Five hundred flies of one species were sprayed with a new insecticide. Twenty-four hours later, nearly all the flies were dead. However, a few survived. Which principle best explains why some flies survived? ", Animals adapt to new environments. , New species develop from survivors. , There is variation among individuals within a species. , Insecticides may cause genetic mutations.,C
Mercury_7207078,Test,easy,The temperatures in space vary from extremely cold to extremely hot. Earth's surface temperature is relatively stable. Which of these is most responsible for Earth's surface temperatures? , solar radiation reflected from the Moon , many volcanic eruptions near the Ring of Fire , the greenhouse effect in the atmosphere , plankton distribution in shallow ocean waters,C
Mercury_SC_400376,Test,easy,"Hurricanes are large, powerful storms that form as they travel over warm ocean waters. What do oceans add to make hurricanes so strong? ", salt and water , wind and tides , heat and moisture , waves and flooding,C
Mercury_7161473,Test,easy,The phases of the Moon are daily changes in the appearance of the Moon. One reason Moon phases occur is because the Moon reflects sunlight. Which is another reason that the phases of the Moon occur? , Earth is tilted on the axis. , The Moon rises and sets. , The Moon orbits Earth. , Earth orbits the Sun.,C
Mercury_404614,Test,easy,Which is considered a property of soil? , streak , fracture , texture , luster,C
Mercury_7220833,Test,easy,Which of these had the greatest impact on the current shape of Nevada's basin and range landscape? , tidal forces , wind erosion , plate tectonics , global warming,C
Mercury_SC_407376,Test,easy,"Air is composed of nitrogen, oxygen, and other gases. Based on that information, air can be described as ", a compound. , an element. , a mixture. , a molecule.,C
Mercury_7041878,Test,easy,"When the cardboard cone of a radio speaker vibrates, it produces a sound in the air around it. The cone produces this sound by transferring which of the following to the air around it? ", heat , current , wave motion , magnetic force,C
Mercury_7107993,Test,easy,"The element nitrogen can be found in simple, nonliving substances, such as air, and in complex molecules in living organisms, such as DNA. Which statement explains why nitrogen can exist in many compounds? ", Nitrogen atoms are different sizes. , Nitrogen atoms are different ages. , Nitrogen atoms can bond to different atoms. , Nitrogen atoms have different amounts of energy.,C
Mercury_SC_401275,Test,easy,"Many scientists think that when birds migrate to the same location each year, they find this location by using Earth's ", jet stream. , weather patterns. , magnetic patterns. , electrical discharges.,C
Mercury_7026775,Test,easy,"A large number of species on Earth became extinct during a short time period about 65 million years ago. Based on this pattern of extinction, which is the most likely cause? ", gradual climate change , continued climate stability , sudden global climate change , gradual ecosystem succession,C
Mercury_SC_LBS10901,Test,easy,Which of the following is the most basic need for a plant? , shade , heat , water , sand,C
NYSEDREGENTS_2010_4_11,Test,easy,Which tool would be most useful for observing the details of an insect's wings? , thermometer , balance , hand lens , graduated cylinder,C
MCAS_2006_9_40,Test,easy,"The instructions below outline the procedure for a demonstration. Materials: four 100 g metal blocks, each of a different metal four polystyrene foam cups, each containing 150 g of 10°C water Procedure: 1. Place the four cups of water next to each other on the lab bench. 2. Heat each block to a temperature of 60°C. 3. Place each heated block in a separate cup of 10°C water. 4. Measure the temperature change in each cup of water after 100 s. At the end of the demonstration, which block raised the temperature of the 10°C water the greatest amount? ", the block with the greatest density , the block with the lowest surface area , the block with the greatest specific heat , the block with the lowest thermal conductivity,C
VASoL_2007_3_15,Test,easy,"Which of these warms most of the air, water, and land on Earth? ", Coal , Electricity , Sunlight , Wind,C
MCAS_2005_5_12,Test,easy,The purpose of thorns on a plant is most likely to , help the plant to get moisture. , anchor the plant in the ground. , protect the plant from harm. , support the stems and branches.,C
VASoL_2008_5_26,Test,easy,Which of these are the deepest parts of the ocean? , Continental shelves , Continental slopes , Ocean trenches , Abyssal plains,C
Mercury_7107310,Test,easy,A main advantage to organisms that reproduce sexually is , being able to conserve energy. , having large numbers of offspring. , greater genetic diversity. , longer life spans.,C
Mercury_7007840,Test,easy,A pan containing hot water is left on the counter and becomes cool mainly due to , water molecules moving apart. , cold air penetrating the hot water. , heat from the water moving into the cooler air. , hot water reacting with the metal pan.,C
Mercury_SC_400600,Test,easy,A student dissolves a spoonful of sugar in a glass of water and makes a , solute. , solvent. , solution. , suspension.,C
Mercury_SC_401611,Test,easy,Many scientists are convinced that an increase of certain gases in the atmosphere is affecting global temperatures. What makes this hypothesis difficult to prove? , Trees absorb these gases. , Global temperatures are rising. , Many variables affect global temperatures. , Many human activities produce these gases.,C
VASoL_2008_3_38,Test,easy,Ice cubes are an example of which form of water? , Gas , Liquid , Solid , Natural,C
Mercury_405461,Test,easy,Which is the most likely way a scientist collects data during an experiment? , calculator , graphs , observations , computer,C
Mercury_404899,Test,easy,Which must be present in order for something to be classified as an organism? , nucleus , organ , cell , organelle,C
NYSEDREGENTS_2012_4_19,Test,easy,"When ocean waters become too warm, some whales travel to colder water. This movement is an example of ", nest building , hunting , migrating , hibernating,C
Mercury_SC_400065,Test,easy,What keeps the planets in orbit around the Sun? , air resistance , friction , gravity , magnetism,C
MDSA_2009_8_29,Test,easy,"Use the information below to answer the question. Cotton is a plant product used to make fabric. Cotton is made of cellulose, a fiber not digestible by humans. Cellulose is composed of many sugar molecules bonded together into long chains. Each sugar molecule contains carbon, hydrogen, and oxygen atoms. When cotton fabric is washed, wrinkles often form. The clothing industry uses chemicals to manufacture some cotton fabrics that are wrinkle-free. Dyes are also added to color the cellulose fibers in cotton. A feature that is common to both cellulose and sugar is that both are ", magnetic , elements , compounds , soluble in water,C
Mercury_SC_401629,Test,easy,Which tools are used to determine the boiling point of water? , hot plate and stopwatch , thermometer and balance , hot plate and thermometer , balance and graduated cylinder,C
Mercury_SC_405482,Test,easy,Indigo buntings are birds that nest in Florida during the summer. Male buntings are bright blue in color while females are a dull brown. How does the dull brown color of the female buntings help the species survive? , It helps male birds find a mate. , It helps the birds find food more easily. , It helps hide the birds while they sit on their nests. , It helps the birds find the flock when migrating.,C
Mercury_7137130,Test,easy,The loudness of sound can be changed by , decreasing the pitch. , increasing the frequency. , increasing the amplitude. , decreasing the wavelength.,C
Mercury_SC_413135,Test,easy,At what temperature does water begin to boil? , 0°C , 32°C , 100°C , 212°C,C
Mercury_409065,Test,easy,"Rosa and Ted ate granola bars before competing in a swimming competition. Less than 50% of the chemical energy in the granola bars was converted to mechanical energy during the swim competition. If all the energy in the granola bars was used, which most likely happened to the rest of the energy? ", It was lost as potential energy. , It was lost as chemical energy. , It was converted to thermal energy. , It was converted to magnetic energy.,C
Mercury_7230598,Test,easy,What is the primary energy source driving circulation of ocean currents on Earth? , geothermal heating , planetary rotation , solar heating , lunar tidal forces,C
Mercury_7085558,Test,easy,"The breaking of a mineral into small, flat sheets is known as ", luster. , streak. , cleavage. , hardness.,C
CSZ20228,Test,easy,Which location on Earth receives the most direct sunlight? , the deserts , the South Pole , the equator , the Western Hemisphere,C
Mercury_7250005,Test,easy,All living things are made up of prokaryotic or eukaryotic cells. Which function is found in both prokaryotic and eukaryotic cells? , aerobic respiration , sexual reproduction , protein production , nitrogen fixation,C
LEAP_2006_4_10275,Test,easy,What is an energy change that takes place in a light bulb? , Chemical energy changes to light energy. , Chemical energy changes to heat energy. , Electrical energy changes to light energy. , Electrical energy changes to chemical energy.,C
MCAS_2004_5_8,Test,easy,"When an electric fan is running, most of the incoming electrical energy changes into which kind of energy? ", heat energy , light energy , mechanical energy , sound energy,C
NYSEDREGENTS_2010_4_16,Test,easy,Which behavior will best help a student stay healthy? , watching television five hours a day , sleeping three hours each night , eating fruits and vegetables each day , exercising once a month,C
Mercury_7210630,Test,easy,Which of these includes Earth? , the asteroid belt , the Andromeda Galaxy , the solar system , the Eagle Nebula,C
Mercury_SC_401264,Test,easy,The vertical axis on a graph is the y-axis. What is most likely placed along the y-axis? , element symbols , negative numbers , dependent variables , independent variables,C
Mercury_SC_402071,Test,easy,What event occurs because of the rotation of Earth? , tides , four seasons , night and day , changes in the weather,C
MEA_2013_8_19,Test,easy,"A species of wasp lays its eggs in the larva of another insect. The wasp is a parasite, and the larva is the host. What is the relationship between the parasite and the host? ", Both the parasite and the host benefit. , Both the parasite and the host are harmed. , The parasite benefits and the host is harmed. , The parasite is harmed and the host benefits.,C
Mercury_410593,Test,easy,The structures in the bodies of many organisms have levels of organization that help the body to carry out life processes. Which list correctly shows how these levels are organized from the simplest to the most complex? ," tissue, cell, organ, organ system "," organ, cell, organ system, tissue "," cell, tissue, organ, organ system "," organ system, tissue, organ, cell",C
Mercury_7247083,Test,easy,"When manned space exploration began, NASA used the gravity assist concept so that spacecraft could conserve fuel. Which statement explains why the gravity assist concept was useful for spacecraft to successfully travel and return to Earth? ", It gave spacecraft a timed trajectory. , It ensured spacecraft would return home safely. , It was helpful in planning spacecraft trajectories. , It ensured spacecraft would avoid being pulled into the sun.,C
NYSEDREGENTS_2015_4_15,Test,easy,Volume and mass are properties of , friction , light , matter , sound,C
NCEOGA_2013_8_13,Test,easy,Which of these careers would a student studying biotechnology most likely pursue? , electrical engineering , astronomy , agricultural research , geology,C
TIMSS_2011_8_pg25,Test,easy,Twins are born. One is a boy and one is a girl. Which statement is correct about their genetic makeup? , The boy and girl inherit genetic material from the father only. , The boy and girl inherit genetic material from the mother only. , The boy and girl inherit genetic material from both parents. , The boy inherits genetic material from the father only and the girl inherits it from the mother only.,C
Mercury_7008260,Test,easy,Which is a possible consequence of global warming? , an increase in the amount of coral reefs ," a decrease in temperature, causing earlier frosts "," an increase in the number of heat waves, causing droughts "," a decrease in temperature, causing shorter growing seasons",C
AKDE&ED_2008_4_33,Test,easy,"Many years ago, purple dye was made from some sea animals. Then, in 1856, William Perkins tried to make a new medicine. Instead, he found a way to make purple dye from coal. What is a positive effect of his discovery? ", Some diseases can be treated. , Purple clothing can be made. , Sea animals are not needed to make purple dye. , Perkins is famous for discovering a new medicine.,C
CSZ20823,Test,easy,"When magnesium (Mg) metal is burned in the presence of oxygen (O?), magnesium oxide (MgO) is produced. The properties of magnesium oxide are different than the individual properties of magnesium and oxygen because magnesium oxide is     ", a solution. , a mixture. , a compound. , an element.,C
Mercury_7044713,Test,easy,"When riding a roller coaster, an electric motor pulls the roller coaster to the top of the first hill. What force pulls the roller coaster down the hill? ", friction , speed , gravity , mass,C
Mercury_SC_LBS10390,Test,easy,A cold-blooded vertebrate with smooth skin belongs to what class of animals? , reptile , fish , amphibian , mammal,C
Mercury_7016520,Test,easy,"When scientists proposed the Theory of Continental Drift, there were many skeptics. Which discovery confirmed that the continents move on plates? ", deep-sea currents , earthquake formation , spreading of the sea floor , sedimentary rocks,C
Mercury_7236618,Test,easy,"A scientist wants to track contaminant movement in the Gulf Stream. The Gulf Stream is a warm water current in the North Atlantic Ocean and is part of the North Atlantic gyre. The gyre is influenced by the Coriolis effect. To follow the contaminant after it exits the Gulf Stream, the scientist needs to know characteristics of the North Atlantic gyre. Which of these best describes a movement of the North Atlantic gyre the scientist needs to know? ", linear movement due west , linear movement due south , clockwise movement , counterclockwise movement,C
MEA_2016_8_19,Test,easy,In what unit of time does Earth orbit the Sun? , day , month , year , century,C
Mercury_7239365,Test,easy,"A large plant population may impose selective pressure on a smaller, isolated group of plants, resulting in a change in allele distribution. Which mechanism is responsible for this change in the allele distribution? ", mutation , hybridization , genetic drift , trait acquisition,C
Mercury_LBS10817,Test,easy,"When a star explodes, an intensely bright object is formed. What is the name of this object? ", nova , red giant , supernova , white dwarf,C
Mercury_7097440,Test,easy,Water puddles on a sidewalk evaporate when the Sun heats the water. Which of these best describes what is happening as the water evaporates? , Water changes phase as it releases heat to the environment. , Water boils as it absorbs energy from the sidewalk. , Water becomes a gas as it absorbs energy from the Sun. , Water evaporates as its thermal energy is transferred to the air.,C
Mercury_7217333,Test,easy,The scientific method is the inquiry process by which scientists raise and attempt to answer new questions. Which is the best way to communicate findings that result from scientific inquiry? , discuss the findings with scientists who agree with you , discuss the findings with a well-known scientist , publish the findings in scientific journals , publish the findings in local newspapers,C
MCAS_2004_8_35,Test,easy,Which of the following planets has the shortest orbit around the Sun? , Earth , Mars , Mercury , Venus,C
Mercury_7014385,Test,easy,Some scientists believe that the mass extinction of dinosaurs was caused by the impact of a large meteorite on Earth. This impact would have caused a darkening of the sky due to dust blown into the upper atmosphere. This darkening would have reduced the sizes of some ecosystems because of , longer seasons. , accelerated erosion. , reduced photosynthesis. , increased number of hurricanes.,C
ACTAAP_2014_5_4,Test,easy,What is a characteristic of sedimentary rock? , high hardness , glassy texture , contains fossils , shiny silver luster,C
TIMSS_2003_8_pg43,Test,easy,Rock that is made of material that has settled to the bottom of lakes and oceans and been compressed and hardened is , conglomerate rock , volcanic rock , sedimentary rock , metamorphic rock,C
ACTAAP_2013_7_8,Test,easy,Which are caused by the Coriolis Effect? , tornadoes , volcanoes , wind patterns , stationary fronts,C
Mercury_SC_LBS10688,Test,easy,The Sun produces energy through , chemical reactions. , fission of uranium. , nuclear fusion. , volcanic eruptions.,C
Mercury_SC_410835,Test,easy,Mrs. Garry's class wants to know if their area has more acid rain than other parts of the state. Which would be the best way for them to begin research? , contact other schools within the state , study science textbooks in the library , look for current acid rain studies on the Internet , examine soil samples taken at different locations,C
ACTAAP_2008_7_7,Test,easy,Which illustrates the correct order of relationships in organisms? , tissue -> organ system -> organ -> cell , organ -> cell -> organ system -> tissue , cell -> tissue -> organ -> organ system , organ system -> organ -> cell -> tissue,C
Mercury_7234168,Test,easy,"A certain fossil (Y) is found in a layer of rock that lies between two index fossils, X and Z. Surprisingly, the older of the index fossils (Z) is found above the other fossils, suggesting that the rock layer has overturned. Which dating method is best to confirm the rock layer has overturned by determining the ages of these fossils? ", anatomical comparison , gene sequencing , radiometric analysis , fossil depth measurement,C
MCAS_2006_5_21,Test,easy,Which of the following fasteners are best to use to fasten the sides of a wooden birdhouse? , bolts , hooks , nails , pins,C
Mercury_7084245,Test,easy,Heart disease can result in a reduced amount of oxygen moving properly through the body. Which body system does heart disease most directly affect? , skeletal , excretory , circulatory , nervous,C
Mercury_SC_405137,Test,easy,"The oil used today is made from the ancient remains of tiny sea creatures called ""Diatoms."" When they were alive, the Diatoms converted sunlight into stored energy. Based on this information, which of the following statements is true? ", The Sun turned diatoms into oil after 10-20 years. , Diatoms are the original source of energy for oil. , The Sun is the original source of energy for oil. , Diatoms converted oil into energy.,C
VASoL_2010_3_2,Test,easy,Skunks spray a strong-smelling liquid to ___. , get rid of wastes , attract prey , defend themselves , help nearby plants grow,C
NYSEDREGENTS_2013_4_7,Test,easy,"The hardness, odor, and taste of an object can all be ", measured with a metric ruler , measured with a spring scale , observed with the senses , observed with a hand lens,C
Mercury_405895,Test,easy,"An area is semiarid, has few trees, and is home to ground-nesting birds. This area is most likely part of which biome? ", tundra , taiga , grassland , desert,C
Mercury_7263848,Test,easy,Auroras occur where Earth's magnetosphere traps high-energy particles in which region of the atmosphere? , troposphere , stratosphere , thermosphere , exosphere,C
Mercury_SC_402260,Test,easy,An experiment was performed at sea-level. 400 mL of water was put in 4 different-shaped containers and placed on hot plates with 4 different temperature settings as shown below. Beaker - 110°C Petri dish - 95°C Erlenmeyer flask - 60°C Round bottom bowl - 45°C Which characteristic of water remained the same in each container? , the shape of the water , the rate of evaporation , the boiling point of water , the amount of steam released per minute,C
Mercury_SC_401786,Test,easy,Which safety measure should a student take when handling a microscope? , clean the lenses with your fingers , keep switching the magnifications , carry the microscope with two hands at all times , make sure to put the microscope on an uneven surface,C
LEAP__8_10368,Test,easy,Which statement about plant and animal cells is true? , Both have a cell wall to give them support. , Both have a large vacuole to store water. , Both use mitochondria to produce energy. , Both use chloroplasts to store energy.,C
Mercury_SC_401307,Test,easy,Finding fossils of warm-weather plants in the rock layers of a cold northern island suggests that , the plants used to be harvested for food. , the island used to be located farther south. , the climate of the island used to be warmer. , the fossils used to be more resistant to cold.,C
MCAS_2012_5_22237,Test,easy,"An earthworm has a length of 12.8 centimeters. What is the length, in millimeters, of the earthworm? ", 0.128 millimeter , 1.28 millimeters , 128 millimeters , 1280 millimeters,C
Mercury_7263428,Test,easy,Which are replenished more quickly than they are used? , energy resources , material resources , renewable resources , nonrenewable resources,C
Mercury_SC_408925,Test,easy,Which best describes how earthworms improve soil as they eat dead plant material? , They make the soil clean. , They keep disease out of the soil. , They recycle nutrients into the soil. , They remove extra water from the soil.,C
Mercury_7106785,Test,easy,"An astronomer and a marine biologist were having lunch and discussing their current experiments. They discovered that although they investigate different areas of science, they most likely use the same ", scientific tools used in experiments. , publications for conducting research. , scientific method to test hypotheses. , locations for conducting their experiments.,C
Mercury_7029313,Test,easy,Which had the greatest impact on the way humans heat their homes? , Newton's theory of gravity , Mendel's experiments with pea plants , Franklin's experiments with electricity , Darwin's research on the Galapagos islands,C
Mercury_SC_402031,Test,easy,Which of these tools is best for recording observations outdoors? , a ruler , a graph , a notebook , a calculator,C
Mercury_SC_LBS10619,Test,easy,What remains in the same location in the sky of the Northern Hemisphere each night? , the Sun , the Little Dipper , the North Star , the Moon,C
Mercury_400089,Test,easy,Which of these situations would most likely be a result of climate change? ," weaker storms, causing less shoreline erosion "," shorter days, causing longer hibernation periods "," shrinking glaciers, causing sea levels to rise "," increased radioactivity, causing damage to cells",C
Mercury_SC_408984,Test,easy,"In the 1600s a scientist named Anton van Leeuwenhoek worked toward improving microscopes and created his own lenses. With his microscopes, Leeuwenhoek discovered bacteria and muscle fibers. Which type of job benefited most from these discoveries? ", glass making , astronomy , medicine , teaching,C
Mercury_7168613,Test,easy,The human body is made up of different levels of organization. A tissue is a group of cells that work together to perform a specific function. Which would be an example of a tissue in the human body? , stomach , platelets , muscle , hair,C
Mercury_7145548,Test,easy,Physical features help animals survive. Which statement best describes physical adaptations that occur through natural selection in changing environments? , They result in population decline. , They are all observable in the fossil record. , They occur slowly over long periods of time. , They are more likely to be observed in plants.,C
Mercury_7174143,Test,easy,"Professor Walden studies genetics at a local university. She believes that she has discovered information that contradicts a widely accepted theory. As a scientist and leader in the study of genetics, which action should she take? ", Announce to the world that her theory is better than the old theory. , Call the news media and tell them about her new theory. , Challenge the old theory with scientific evidence. , Request that the old theory be banned.,C
Mercury_176820,Test,easy,In which of these organs does most absorption of nutrients take place? , liver , stomach , small intestine , large intestine,C
MSA_2012_8_28,Test,easy,Common soaps are often basic. Which of these is a property of a chemical base? , sour taste , pH equal to 6 , turns litmus paper blue , forms bubbles with limestone,C
NYSEDREGENTS_2008_4_25,Test,easy,What is the major source of energy for food chains? , water , air , sunlight , grass,C
VASoL_2009_5_28,Test,easy,Which of the following do plants need to make their own food? , Flowers , Bacteria , Sunlight , Oxygen,C
VASoL_2009_5_20,Test,easy,At which location are oceans the deepest? , Mid-ocean ridge , Abyssal plain , Ocean trench , Volcanic island,C
MCAS_2003_8_28,Test,easy,"Kendra's mom is purchasing a car, but cannot decide what color to get. Kendra advises her mom that a car with a black exterior will be uncomfortable in the summer. This observation is correct because dark objects, as compared to lighter colored objects, ", reduce heat transfer. , are generally more dense. , absorb more of the Sun's energy. , reflect sunlight more efficiently.,C
Mercury_7167038,Test,easy,Heart cells have fibers that slide up and down and cause contractions. Which types of specialized cells can contract? , bone cells , nerve cells , muscle cells , white blood cells,C
Mercury_SC_LBS10949,Test,easy,A warm-blooded organism that nurses its young would be called , a bird. , an insect. , a mammal. , a reptile.,C
Mercury_7120820,Test,easy,A change in the position of an object as time changes best describes , direction. , waves. , motion. , frequency.,C
Mercury_SC_411419,Test,easy,Plants that are different from each another may have similar structures. Which structure do all plants have in common? , flowers , fruit , roots , trunks,C
NCEOGA_2013_5_16,Test,easy,Which organism is a producer? , frog , mushroom , grass , lizard,C
Mercury_SC_407608,Test,easy,Scientists are developing new satellite technology to help predict the weather. How will developing this technology most likely benefit people? , It will show people that storms can be prevented. , It will show people that science is interesting. , It will help warn people about dangerous storms. , It will help people drive in the rain.,C
ACTAAP_2013_7_10,Test,easy,Which statement about gravity is written as a law? , The reason gravity works is because masses bend time and space. , The effect of gravity on plants might be reduced if certain minerals are added to the soil. , The force of gravity between two objects depends upon their masses and the distance between them. , The experiments being done on gravity today are better than what were done in the past and a full understanding is only a few years away.,C
Mercury_7058520,Test,easy,Which organisms eat only plants? , producers , omnivores , herbivores , scavengers,C
Mercury_7005075,Test,easy,"Which of the following is a characteristic of the ""steady state theory"" of the universe? ", The universe is constantly growing and changing. , A great explosion caused the origin of the universe. , The nature of the universe has always been the same. , Light moving from the center of the universe appears red.,C
Mercury_7091893,Test,easy,The Great Miami Aquifer is a large underground water supply that lies under much of southwest Ohio. The water level of the aquifer could be reduced over time by too much , rainfall. , pollution. , irrigation. , evaporation.,C
Mercury_7012583,Test,easy,What is one way the body reacts to cold weather? , sneezing , swallowing , shivering , sweating,C
Mercury_SC_402077,Test,easy,Which is the best explanation of why the Moon revolves around Earth? , The Moon has a thinner atmosphere than Earth. , The Moon is too large to move away from Earth. , The Moon is attracted by the gravity of Earth. , The Moon has a smaller gravitational force than Earth.,C
Mercury_SC_416653,Test,easy,Which type of ecosystem has the greatest variation in temperature from its top to its bottom? , lake , pond , ocean , estuary,C
Mercury_7137008,Test,easy,The removal of waste from Florida's East Bay and Pensacola Bay is intended to speed the bay ecosystem's natural tendency to do which of the following? , adapt to a changed landscape , undergo ecosystem progression , return to its pre-pollution conditions , produce organisms that can survive changed conditions,C
TIMSS_2007_8_pg26,Test,easy,"In living things, large and complex molecules are broken down into small and simple molecules. What is this process called? ", excretion , absorption , digestion , circulation,C
Mercury_7214043,Test,easy,A researcher is working on a family genetics project. She wants to trace a particular trait back through several generations of her ancestors. Which type of display will best help the researcher organize the information? , flow chart , cycle diagram , pedigree chart , Punnett square,C
