questionID,question,info
AKDE&ED_2012_8_45,action likely learned behavior?,"(p. 29) INCIDENTAL LEARNING Situated learning, like action learning, stresses that behavior change is more likely to occur as a result of reflection on experience. They are much like children in their actions and behaviors. ACTION BEHAVIOR Behaves like a SoBaseKit. But it's like learning any new behavior. Homophobia, like racism, is learned behavior. Like behaviors, expectations are wholly learned. Lasting is a learned behavior, like learning to dance. Students learn that there are consequences for their actions and the benefits of responsible behavior. During action, people learn to control their behavior. It bases its actions on learned patterns and behaviors. (p."
Mercury_7211225,Students measure effect water growth plants lab experiment. students give different amounts water three different groups plants. plants receive amount light planted amount soil. students measure height plants period four weeks. variables labeled axes graph data collected experiment?,"Divide the students into groups and ask each group to choose a variable to test for in their plant growth experiment: water, light, or soil. Some of the variables in the experiment should include the amount of light the plants receive, the amount of water they get, the type of soil they are in, the size of the container they are grown in, and the temperature. In this experiment, students will filter the amount of ultraviolet light (UV-B) plants are exposed to, and observe the effect of this filtering on plant growth. Experiment to identify conditions that influence plant growth (e.g., amount of water, light, temperature, and soil type). The amount of water measured in the soil or plant. EQUIPMENT/SUPPLIES: people, skeleton, photographs, slides, growth chart, paper to make prints PREPARATION REQUIRED: collect visual aids, prepare assistants, request student photographs in advance ACTIVITY #: 7 GRADES: 1,2,3,4,5 TITLE: Growing Plants VOCABULARY: soil, dirt, water, roots, support, food, oxygen, carbon dioxide, photosynthesis, respiration OBJECTIVES: discover importance of soil, water, light, and air to plant growth SUBJECTS: earth and life sciences TIME REQUIRED: 45 min for each of two or more visits GRADE/GOALS: 1 /5.1 (needs of organisms) 2 /5.2 (environmental adaptations) 3 /5.1,5.3 (interdependence of plants &amp; animals) 5 /5.1 (plant communities) GROUP SIZE: 25 SOURCES: botanists, plant scientists, nurseries, foresters, landscapers, agricultural extension agents SUGGESTED ACTIVITIES: Conduct mini-experiments with different soils and different amounts of water or light, demonstrating the effects of soil, water or light on the growth of quick growing plants, such as beans or peas. The students could conduct a lab experiment on the effects of external stimuli on plants using temperature, sound, light, and watering patterns as variables. DATA : (Taken once per week): Height Plant A Height Plant B # Leaves Plant A # Leaves Plant B # Stems Plant A # Stems Plant B CONCLUSIONS : (What does this experiment tell you about the optimum growth conditions for this plant..e. the light, temperature, water, nutrient, and soil requirements.) X1011641263-00099-27223</DOCNO> Week 1 Week 1: Plant Growth Lesson 1: Photosynthesis Objective: Through their study of plant growth, students will predict and experiment with variables (water, light, soil, sand) to achieve optimum conditions for plant growth. The effect of sound on plants Plants in different environments (light intensity, colour) The effect of nicotine, air, yeast on mold growth Factors affecting the strength of hair, the growth of bacteria, molds or yeast Experiment with Hydroponics Use seedlings started from seed with three types of soil and different rates of fertilizer Comparing types of artificial light on plant growth The commercial uses of algae methods of production Producing mutations in bacteria, yeast, protozoa or molds Best conditions for mushroom production, growth of ferns Plant tropisms and growth hormones Transpiration rates for different plants and conditions Sugar level in plant sap at different times and dates Using radioisotopes to study uptake of plant nutrients Genetic variations across a Sansevieria leaf Factors affecting seed germination (e. soil temperature, pH) Root formation in cuttings versus lighting conditions Factors affecting flowering Study of sterility in plant hybridgs (F1 and F2) Comparison of different plant's ability to add humus to the soil Factors affecting Nodule Formation in Legumes Can household compounds (e. tea) be used to promote good health in plants Effects of cigarette smoke on the growth of plants The effects of water impurities on plant growth The effects of phosphates on aquatic plants Effect of mineral deficiencies on protein content in soybeans The effect of excess salinity on plants A study of the tumours produced in plants by agrobacterium tumifacieus The effect of polarized light on plant growth directica The effects of solar activity on plant growth Tracing solar activity cycles in tree growth rings The effects of electric fields on plants The effects of magnetic fields on plant growth Effects of magnetism on the size and frequency of blooms and fruits Does magnetizing seeds before planting affect growth The effects of XRay and other radiation on plants The effect of music of varying types and duration on plants Organic fertilizer versus chemical Fertilizer Search for near vacuum environment tolerant plants Manipulation of vegetative reproduction in plants Germination - how monocots and dicots differ - the effects of heat, light, carbon dioxide, pH level, etc. on germination rate Photosynthesis - factors affecting the rate of photosynthesis temperature, light intensity, water, carbondioxide - part of light spectrum used in photosynthesis Leaf - do the numbers and sizes of stomata vary with different plants - what happens if stomata are covered and why Roots - how much water is used by different plants - what is the effect of temperature, sunlight, etc., on the use of water (transpiration) - how do different types of soils affect the ability of roots to anchor plants - what factors encourage root growth and what is the effect of water, oxygen, soil type, minerals on root growth Plant growth - determine the effects of various nutrients, amounts of water, hours of sunlight, strength of weed killer, temperature, pollutants, pH levels on plant growth and crop yields - can plants live without oxygen, carbon dioxide - what percentages of various plants is water Back to Ideas Index This page will be updated periodically. Divide the students into groups and ask each group to choose a variable to test for in their plant growth experiment: water, light, or soil. o"
Mercury_7038570,Students learning different types waves. least likely way students generate wave?,"Earthquakes 
generate three different types of waves, which travel in different ways. An earthquake generates different types of waves. The student will learn that waves are generated by wind. The way the waves are generated is also quite different. __ P-wave, Pressure wave, primary wave ________ is the type of wave generated by an earthquake which travels the fastest and behaves much like a sound wave. Each type of wave shakes the ground in different ways. Because the boundaries between different rock types often reflect seismic waves, geophysiscists use these waves to generate pictures of what the subsurface looks like. Earthquakes 
generate three different types of waves, which travel in different ways. Earthqu"
Mercury_SC_401814,situation would considered observation measurement?,"In this situation, it would be considered as an observation of strength. The situation is illustrated in the figure below: Lets consider what two observers, one on the train and one on the ground would measure. Which of the following would NOT be considered a specific measurable or observable goal? We consider the fairly general situation in which a set of k related outcome measures, , is observed for each of replications for individual j , ( and ). d to consider uncertainties in measurements and observations; To begin with, let's consider the measure of the observation. This would be considered an emergency situation. The Government's A/E recognized that the depth would be measured in feet, not inches, and would vary depending on the particular situation being considered. [ Translation ] I would now like to make some observations about the context in which the proposed tax measures are situated. In this situation, it would be considered as an observation of strength. In this"
Mercury_SC_401002,"research projects, best choice student interested environmental issues study?","A good research site for students interested in warming, 
greenhouse gasses and environmental issues. Student research projects on environmental issues. Honours in Soil Science includes a major research project on a choice from topics that range as wide as your interests in environmental issues. [Top] The Environmental Studies Practicum is a four-credit Individualized Learning Project (ILP) that intensively investigates an environmental issue of interest to the student. Students interested in conducting environmental research can contact the Environmental Studies department for details on various projects. The project exam is a research project on an environmental issue that exists in the student's own community or that is of personal interest. It is a good choice for a premedical student interested in medical research. It is a lecture-oriented course which requires a substantial student research project focused on an environmental issue of interest to the student. A good research site for students interested in warming, 
greenhouse gasses and environmental issues. [Top] The Environmental Studies Practicum is a four-credit Individualized Learning Project (ILP) that intensively investigates an "
MDSA_2007_8_19,"toy car rolls constant speed straight inclined track. car reaches flat surface base inclined track, speed car decreases. statement best explains speed car decreases reaches flat surface?","By using soft shock-spring combinations, the teams were able to drop the rear of the car almost to the track surface, decreasing drag and increasing speed, especially in qualifying. Surface brightness, , decreases with increasing inclination. A ball rolling on a flat surface rolls at a constant speed if no forces act on it. How does surface friction affect the rolling speed of a toy car? When a planing situation is reached The wetted surface decreases as the speed increases. so that it will roll with a constant speed along the straight level track in the photograph. The bearings roll on the upper surface of the flat part of the angle iron tracks. A car is going around a flat circular track at constant speed. Notice that the tracks are painted on a flat surface. A: Try placing track on a flat surface. By using soft shock-spring combinations, the teams were able to drop the rear of the car almost to the track surface, decreasing drag and increasing speed, especially in qualifying. A ball rolling on a flat surface rolls at a "
Mercury_7246260,scientists arrive theory plate tectonics?,"Scientists today think in terms of the Tectonic Plate theory. Today, scientists accept theories concerning plate tectonics. There are scientists who challenge tectonic plate theory. This is why the scientists accepted the plate tectonics theory. The ""plates"" in plate tectonic theory. explain the basic contributions by pioneering scientists in the development of the theory of plate tectonics; Most earth scientists base their ideas on the plate-tectonic theory. This match is what led scientists to the development of the plate tectonics theory. Scientists attribute the formation of these great mountains to the theory of plate tectonics. Scientists today think in terms of the Tectonic Plate theory. Scientists today think in"
Mercury_7170433,Emily riding bicycle. best explains energy used pedal bicycle transferred forward motion bicycle?,"Bicycle or use an arm pedal bicycle. To ""pedal"" is to use pedals, as on a bicycle. the author used a pedalled bicycle. The motion is like riding a bicycle. If you ride a bicycle, pedal rapidly. Riding a bicycle needs energy. Bicycle Pedal; Bicycle or use an arm pedal bicycle. The moti"
Mercury_7188073,"Plants cells, tissues, organs, systems allow function complete organisms. parts plant function organ?","plant cells, tissues and organs and their functions; Plant cells, tissues, and organs. 5a Plants and animals have levels of organization for structure and function, including cells, tissues, organs, organ systems, and the whole organism. CELL STRUCTURE AND FUNCTION V. TISSUE SYSTEMS VI. PLANT ORGANS VII. Structures and functions of cells, tissues, and organs of flowering plants. Structures and functions of cells, tissues and organs of flowering plants. Organisation of cells to form tissues, organs and the functional plant. plant cells, tissues and organs and their functions; Plant cells, tissues, and organs. Organisation of cells to form tissues, or"
Mercury_7094238,invention would culture living Arctic Circle likely develop?,"',320,400)"">What's it like living above the Arctic Circle? Arctic Circle: History and Culture - Arctic Circle - History and culture of the Arctic Circle. To live above the 
Arctic Circle. Arctic Circle-History & Culture Arctic Dawn -- Arctic Cultures and Society The Arctic Circle site based at University of Connecticut is an excellent place to find information about all the peoples and cultures, and their histories, living in the Arctic and Sub-Arctic. Arctic: Arctic Circle: History and Culture : Anthropological studies of various Arctic peoples. Polar bears live in the Arctic Circle. No, they live far north, in the Arctic circle; ',320,400)"">What's it like living above the Arctic Circle? Arctic Circle: History and Culture - Arctic Circle - History and culture of the Arctic Circle. To live above the 
Arcti"
Mercury_7030083,"day class going lab experiment, teacher reminds wear open shoes school next day. rationale best explains teacher's request?","Teacher explains that since Friday is the last day of class, instead of going to the lab on that day, lab day will be on Wednesday. The computer lab is open 1 days a week for classes to go in (as the teacher needs it a teacher needs to sign up for the additional time). X1011728756-00199-49286</DOCNO> Rules and Procedures Students (and teachers) should wear shoes with socks on days they will use the lab. At times during the school day individual classes accompanied by a teacher will be using the lab. During the school day, teachers will sign up to use the lab for class projects. At times during the school day, individual classes accompanied by a teacher will be using the lab. This evening event is an opportunity for parents to meet their children's teachers and to experience a portion of their school day as they go from class to class. On the first day of school, the teacher was explaining some of the policies of the class. Computer labs are generally only open for computer studies during the day and closed after school, or may be open to teachers for class preparation but closed to students. Opening School Experience The required Opening School Experience is completed in approved public school settings at the begining of the student's senior year, where the student participates in the pre-planning days for teachers and through the first days of classes. Teacher explains that since Friday is the last day of class, instead of going to the lab on that day, lab day will be on Wednesday. Opening Sc"
MCAS_8_2015_9,company designing new laptop computer. computer must exceed certain weight. following likely reason weight restriction computer?,"The laptop computer weighted too much. (You are allowed one carry-on plus a purse or laptop computer with no weight restriction.) The respondent weight was computed 
as follows. The respondent weight was computed as follows. The weighting functions are computed as follows. that of a laptop computer , close to 4000 times its weight. If the patient's weight exceeded the ideal weight, the excess was computed as a percentage of the ideal weight. On the weight of computations. The laptop computer weighted too much. that of a laptop computer , close to 4000 times its weigh"
MCAS_2001_8_5,major function vacuoles found cells?,"What are the main functions of a cell's vacuole. Describe three functions of plant cell vacuoles. What is the function of the central vacuole in plant cells? In plant cells, what are the functions of the central large vacuole? Vacuoles are the lysosome functional equivalent in plant cells. 6.6 Describe functions of cell vesicles and vacuoles. Vacuoles have diverse functions in cell maintenance food vacuole An organelle in the cell that functions in intracellular digestion. The finding of large vacuolated cells in the epithelium is characteristic. What are the main functions of a cell's vacuole. What is the function of the central vacuol"
Mercury_7027055,"scientist collected monthly population counts three animal species forest five years. display data, scientist use following?","ABBREVIATIONS USED IN TABLE WHICH FOLLOW: AMP Allotment Management Plan AUM Animal Use Month FNA Figures not Available M 1,000 MM 1,000,000 MMBF Million Board Feet MBF Thousand Board Feet NEPA National Environmental Policy Act WFUD Wildlife User Day FIVE YEAR SUMMARY OF ACTIVITIES - TABLE 1 The following table displays the accomplishments over the past five years of plan implementation in relation to the goals displayed in the Forest Land and Resources Management Plan. But evidence of radioactivity, collected by Defense Department scientists only three months after the test, was kept secret for five years. But the evidence of radioactivity, collected by Department of Defense scientists only three months after the test, was kept secret for five years. The data collected provides scientists with information on the shifting patterns, distributions, and population trends of bird species during the count period. The District Court sentenced Zwick to concurrent terms of thirty-three months as to each count, to be followed by five years of supervised release. The following essential indicators are required to be collected every three to five years: Age/sex distribution of the population. - ecological research on the dynamics of forest regeneration after cultivation and on the dynamics of populations of wild plant and animal species used by human populations ; ABBREVIATIONS USED IN TABLE WHICH FOLLOW: AMP Allotment Management Plan AUM Animal Use Month FNA Figures not Available M 1,000 MM 1,000,000 MMBF Million Board Feet MBF Thousand Board Feet NEPA National Environmental Policy Act WFUD Wildlife User Day FIVE YEAR SUMMARY OF ACTIVITIES - TABLE 1 The following table displays the accomplishments over the past five years of plan implementation in relation to the goals displayed in the Forest Land and Resources Management Plan. The following essential indicators are required to be collected every thr"
